COUNTRY,CPI_SCORE,SCORE
DK,90,1
FI,87,0.962025316455696
NZ,85,0.936708860759494
NO,84,0.924050632911392
SG,83,0.911392405063291
SE,82,0.89873417721519
CH,82,0.89873417721519
NL,79,0.860759493670886
DE,78,0.848101265822785
LU,78,0.848101265822785
IE,77,0.835443037974684
CA,76,0.822784810126582
EE,76,0.822784810126582
AU,75,0.810126582278481
HK,75,0.810126582278481
BE,73,0.784810126582278
JP,73,0.784810126582278
UY,73,0.784810126582278
IS,72,0.772151898734177
AT,71,0.759493670886076
FR,71,0.759493670886076
SC,71,0.759493670886076
GB,71,0.759493670886076
BB,69,0.734177215189873
US,69,0.734177215189873
BT,68,0.721518987341772
AE,68,0.721518987341772
TW,67,0.708860759493671
CL,66,0.69620253164557
BS,64,0.670886075949367
CV,64,0.670886075949367
KR,63,0.658227848101266
IL,62,0.645569620253165
LT,61,0.632911392405063
PT,61,0.632911392405063
LV,60,0.620253164556962
VC,60,0.620253164556962
ES,60,0.620253164556962
BW,59,0.607594936708861
QA,58,0.594936708860759
CZ,57,0.582278481012658
DM,56,0.569620253164557
IT,56,0.569620253164557
SI,56,0.569620253164557
CR,55,0.556962025316456
LC,55,0.556962025316456
PL,54,0.544303797468354
SK,54,0.544303797468354
CY,53,0.531645569620253
GE,53,0.531645569620253
GD,53,0.531645569620253
RW,53,0.531645569620253
FJ,52,0.518987341772152
SA,52,0.518987341772152
MT,51,0.506329113924051
MU,51,0.506329113924051
HR,50,0.493670886075949
MY,50,0.493670886075949
GR,49,0.481012658227848
NA,49,0.481012658227848
VU,48,0.468354430379747
AM,47,0.455696202531646
JO,46,0.443037974683544
KW,46,0.443037974683544
ME,46,0.443037974683544
RO,46,0.443037974683544
BG,45,0.430379746835443
ST,45,0.430379746835443
JM,44,0.417721518987342
BJ,43,0.405063291139241
GH,43,0.405063291139241
OM,43,0.405063291139241
SN,43,0.405063291139241
SB,43,0.405063291139241
TL,43,0.405063291139241
BH,42,0.392405063291139
CN,42,0.392405063291139
CU,42,0.392405063291139
HU,42,0.392405063291139
MD,42,0.392405063291139
MK,42,0.392405063291139
TT,42,0.392405063291139
BF,41,0.379746835443038
XK,41,0.379746835443038
ZA,41,0.379746835443038
VN,41,0.379746835443038
CO,40,0.367088607594937
CI,40,0.367088607594937
GY,40,0.367088607594937
SR,40,0.367088607594937
TZ,40,0.367088607594937
TN,40,0.367088607594937
IN,39,0.354430379746835
KZ,39,0.354430379746835
LS,39,0.354430379746835
MV,39,0.354430379746835
MA,38,0.341772151898734
AL,37,0.329113924050633
AR,37,0.329113924050633
BY,37,0.329113924050633
ET,37,0.329113924050633
GM,37,0.329113924050633
ZM,37,0.329113924050633
DZ,36,0.316455696202532
BR,36,0.316455696202532
RS,36,0.316455696202532
UA,36,0.316455696202532
BA,35,0.30379746835443
DO,35,0.30379746835443
EG,35,0.30379746835443
NP,35,0.30379746835443
PA,35,0.30379746835443
SL,35,0.30379746835443
TH,35,0.30379746835443
EC,34,0.291139240506329
ID,34,0.291139240506329
MW,34,0.291139240506329
PH,34,0.291139240506329
LK,34,0.291139240506329
TR,34,0.291139240506329
AO,33,0.278481012658228
MN,33,0.278481012658228
PE,33,0.278481012658228
UZ,33,0.278481012658228
NE,32,0.265822784810127
SV,31,0.253164556962025
KE,31,0.253164556962025
MX,31,0.253164556962025
TG,31,0.253164556962025
DJ,30,0.240506329113924
SZ,30,0.240506329113924
MR,30,0.240506329113924
BO,29,0.227848101265823
PK,29,0.227848101265823
PG,29,0.227848101265823
GA,28,0.215189873417722
LA,28,0.215189873417722
ML,28,0.215189873417722
PY,28,0.215189873417722
CM,27,0.20253164556962
GN,26,0.189873417721519
KG,26,0.189873417721519
RU,26,0.189873417721519
UG,26,0.189873417721519
LR,25,0.177215189873418
MG,25,0.177215189873418
MZ,25,0.177215189873418
NG,25,0.177215189873418
BD,24,0.164556962025316
CF,24,0.164556962025316
IR,24,0.164556962025316
LB,24,0.164556962025316
ZW,24,0.164556962025316
AZ,23,0.151898734177215
GT,23,0.151898734177215
HN,23,0.151898734177215
IQ,23,0.151898734177215
KH,22,0.139240506329114
CG,22,0.139240506329114
GW,22,0.139240506329114
ER,21,0.126582278481013
AF,20,0.113924050632911
BI,20,0.113924050632911
TD,20,0.113924050632911
KM,20,0.113924050632911
CD,20,0.113924050632911
MM,20,0.113924050632911
SD,20,0.113924050632911
TJ,20,0.113924050632911
LY,18,0.0886075949367089
TM,18,0.0886075949367089
GQ,17,0.0759493670886076
HT,17,0.0759493670886076
KP,17,0.0759493670886076
NI,17,0.0759493670886076
YE,16,0.0632911392405063
SS,13,0.0253164556962025
SY,13,0.0253164556962025
VE,13,0.0253164556962025
SO,11,0
