COUNTRY,EPI_SCORE,SCORE
EE,75.7,1
LU,75.1,0.98825831702544
DE,74.5,0.976516634050881
FI,73.8,0.962818003913894
GB,72.6,0.939334637964775
SE,70.3,0.894324853228963
NO,69.9,0.886497064579256
AT,68.9,0.86692759295499
CH,67.8,0.845401174168297
DK,67.7,0.843444227005871
GR,67.3,0.835616438356164
FR,67,0.829745596868885
MT,66.9,0.827788649706458
NL,66.9,0.827788649706458
BE,66.8,0.825831702544031
IE,65.8,0.806262230919765
CZ,65.5,0.800391389432485
SK,65.1,0.792563600782779
IS,64.3,0.776908023483366
PL,64.2,0.774951076320939
LT,64.1,0.772994129158513
ES,64,0.771037181996086
AU,63.1,0.753424657534247
SI,62.4,0.73972602739726
HR,62.3,0.737769080234834
PT,61.9,0.729941291585127
JP,61.4,0.720156555772994
CA,61.1,0.714285714285714
IT,60.3,0.698630136986301
LV,60.2,0.696673189823875
HU,59.8,0.688845401174168
BY,58.2,0.657534246575342
NZ,57.3,0.639921722113503
RO,57.3,0.639921722113503
US,57.2,0.637964774951076
SR,56.9,0.632093933463796
BG,56.2,0.61839530332681
BS,55.9,0.61252446183953
AG,55.6,0.606653620352251
CR,55.5,0.604696673189824
UA,54.6,0.587084148727984
VC,54.2,0.579256360078278
CY,53.9,0.573385518590998
GA,53.3,0.561643835616438
VE,53.3,0.561643835616438
BB,53.1,0.557729941291585
BR,53,0.555772994129159
SG,53,0.555772994129159
PA,52.9,0.553816046966732
CU,52.5,0.545988258317025
TT,52.5,0.545988258317025
AL,52.2,0.540117416829746
AE,51.6,0.528375733855186
ZW,51.6,0.528375733855186
EC,51.3,0.522504892367906
OM,51.3,0.522504892367906
LC,51.1,0.518590998043053
KR,50.6,0.50880626223092
MK,50.3,0.50293542074364
TW,50.1,0.499021526418787
TL,49.9,0.495107632093933
RS,49.8,0.493150684931507
CO,49.7,0.49119373776908
CL,49.6,0.489236790606654
DM,49.3,0.483365949119374
BW,49.2,0.481409001956947
GY,49,0.477495107632094
JM,48.5,0.467710371819961
BN,48.3,0.463796477495108
IL,48,0.457925636007828
SC,47.9,0.455968688845401
KZ,47.8,0.454011741682975
DO,47.7,0.452054794520548
ME,47.7,0.452054794520548
BZ,47.4,0.446183953033268
NI,47.4,0.446183953033268
GE,47.3,0.444227005870841
JO,47.3,0.444227005870841
MU,47.3,0.444227005870841
WS,47.1,0.440313111545988
AR,47,0.438356164383562
QA,46.8,0.434442270058708
RU,46.7,0.432485322896282
ZM,46.7,0.432485322896282
PE,46.5,0.428571428571429
MD,46.1,0.420743639921722
BA,46,0.418786692759296
FJ,46,0.418786692759296
GD,45.8,0.414872798434442
TH,45.7,0.412915851272016
BO,45.3,0.405088062622309
TN,45.3,0.405088062622309
VU,45,0.399217221135029
AM,44.9,0.397260273972603
KW,44.4,0.38747553816047
KI,44.3,0.385518590998043
MX,44.2,0.383561643835617
UY,44.1,0.38160469667319
NA,44,0.379647749510763
SN,43.8,0.37573385518591
EG,43.7,0.373776908023483
TZ,43.6,0.371819960861057
BT,43.3,0.365949119373777
CI,42.9,0.35812133072407
KG,42.8,0.356164383561644
ZA,42.7,0.354207436399217
UZ,42.6,0.352250489236791
MH,42.5,0.350293542074364
SA,42.5,0.350293542074364
BF,42.2,0.344422700587084
SB,42.2,0.344422700587084
GW,42,0.340508806262231
IR,41.8,0.336594911937378
DZ,41.7,0.334637964774951
GQ,41.7,0.334637964774951
SV,41.6,0.332681017612524
CG,41.6,0.332681017612524
MY,41,0.320939334637965
FM,40.8,0.317025440313112
TM,40.6,0.313111545988258
AZ,40.5,0.311154598825832
TO,40.4,0.309197651663405
HN,40.2,0.305283757338552
AO,40.1,0.303326810176125
NE,40,0.301369863013699
LB,39.9,0.299412915851272
SL,39.9,0.299412915851272
CD,39.5,0.291585127201566
MA,39.5,0.291585127201566
PY,39.5,0.291585127201566
SD,39.1,0.283757338551859
CF,39,0.281800391389432
MZ,39,0.281800391389432
LK,38.8,0.277886497064579
SZ,38.7,0.275929549902153
CM,38.6,0.273972602739726
KM,38.2,0.26614481409002
MV,38.1,0.264187866927593
CV,38,0.262230919765166
NG,37.9,0.26027397260274
BJ,37.8,0.258317025440313
GM,37.6,0.25440313111546
MN,37.2,0.246575342465753
TR,37.2,0.246575342465753
GH,36.9,0.240704500978474
KE,36.9,0.240704500978474
LS,36.9,0.240704500978474
PG,36.9,0.240704500978474
GN,36.5,0.232876712328767
HT,36.4,0.23091976516634
ET,36.3,0.228962818003914
ST,36.2,0.227005870841487
TD,35.9,0.221135029354207
UG,35.8,0.219178082191781
TG,35.7,0.217221135029354
CN,35.4,0.211350293542074
BH,35.3,0.209393346379648
MW,35.1,0.205479452054795
MR,34.6,0.195694716242661
ML,34.5,0.193737769080235
LR,34.3,0.189823874755382
RW,33.9,0.181996086105675
ID,33.6,0.176125244618395
BI,33.5,0.174168297455969
NP,33.1,0.166340508806262
GT,32.5,0.154598825831703
DJ,32.3,0.150684931506849
TJ,32.3,0.150684931506849
PH,32.1,0.146771037181996
KH,31.2,0.129158512720157
AF,31,0.125244618395303
IQ,30.3,0.111545988258317
MG,30.1,0.107632093933464
ER,29,0.086105675146771
BD,28.1,0.0684931506849315
IN,27.6,0.0587084148727984
MM,27.1,0.0489236790606654
LA,26.3,0.0332681017612524
PK,25.5,0.0176125244618395
VN,24.6,0
