COUNTRY,LPI_SCORE,SCORE
DK,84.55,1
SE,83.67,0.983748845798707
NO,83.59,0.982271468144044
FI,83.47,0.98005540166205
CH,83.42,0.979132040627886
NL,82.32,0.95881809787627
LU,81.83,0.949769159741459
IS,81.02,0.934810710987996
DE,80.81,0.930932594644506
NZ,80.47,0.924653739612188
IE,80.31,0.921698984302863
GB,79.95,0.915050784856879
CA,79.62,0.908956602031394
AT,79.38,0.904524469067405
AU,79.36,0.90415512465374
JP,78.22,0.883102493074792
SG,78.21,0.882917820867959
BE,77.84,0.876084949215143
US,77.44,0.868698060941828
TW,77.36,0.867220683287165
EE,77.31,0.866297322253001
HK,76.9,0.858725761772853
FR,76.73,0.855586334256695
ES,76.03,0.842659279778393
CZ,75.08,0.825115420129271
PT,74.64,0.816989843028624
SI,74.54,0.815143120960296
MT,74.36,0.811819021237304
KR,74.07,0.80646352723915
IT,73.03,0.787257617728532
LV,72.99,0.7865189289012
LT,72.54,0.778208679593721
IL,72.25,0.772853185595568
CY,71.82,0.764912280701754
SK,71.15,0.752539242843952
CL,70.18,0.734626038781164
PL,70.15,0.734072022160665
UY,69.69,0.725577100646353
CR,69.59,0.723730378578024
GR,68.48,0.703231763619575
HR,68.24,0.698799630655586
HU,66.88,0.673684210526316
MY,66.84,0.672945521698984
AE,66.69,0.670175438596491
RO,66.4,0.664819944598338
QA,66.24,0.661865189289012
MU,65.65,0.650969529085873
BG,65.55,0.649122807017544
ME,65.01,0.639150507848569
PA,64.32,0.626408125577101
SC,63.65,0.614035087719298
RS,62.75,0.59741458910434
GE,62.28,0.588734995383195
CN,62.15,0.586334256694368
MK,61.95,0.58264081255771
TT,61.91,0.581902123730379
JM,61.39,0.572299168975069
AR,61.38,0.572114496768236
PE,61.27,0.570083102493075
KW,60.93,0.563804247460757
AM,60.92,0.563619575253924
BH,60.92,0.563619575253924
ID,60.88,0.562880886426593
TH,60.79,0.561218836565097
AL,60.69,0.559372114496768
BR,60.07,0.54792243767313
OM,59.85,0.543859649122807
DO,59.85,0.543859649122807
KZ,59.53,0.537950138504155
MD,59.44,0.536288088642659
MX,59.3,0.533702677746999
BA,59.11,0.530193905817175
VN,58.86,0.525577100646353
UA,58.84,0.525207756232687
ZA,58.67,0.522068328716528
PY,58.56,0.520036934441367
RU,58.5,0.518928901200369
BY,58.4,0.517082179132041
SA,58.35,0.516158818097876
CV,58.34,0.515974145891044
CO,58.01,0.509879963065559
SR,57.91,0.50803324099723
BW,57.83,0.506555863342567
PH,57.53,0.501015697137581
EC,57.42,0.498984302862419
JO,57.14,0.493813481071099
ST,57.09,0.492890120036935
MN,57.07,0.492520775623269
GY,56.93,0.489935364727609
NA,56.38,0.479778393351801
LK,56.34,0.479039704524469
AZ,56.26,0.477562326869806
BZ,55.91,0.471098799630656
KG,55.75,0.46814404432133
TR,55.5,0.463527239150508
MA,55.19,0.457802400738689
SV,55.05,0.455216989843029
GH,54.66,0.448014773776547
TN,54.46,0.444321329639889
UZ,53.8,0.43213296398892
GT,53.73,0.43084025854109
SN,53.68,0.429916897506925
IN,53.66,0.429547553093259
CU,53.44,0.425484764542936
HN,53.25,0.421975992613112
BO,53.13,0.419759926131117
TM,52.38,0.405909510618652
KE,52.25,0.403508771929825
DZ,52.13,0.40129270544783
NP,51.57,0.390951061865189
RW,51.56,0.390766389658356
LB,51.38,0.387442289935365
TJ,51.2,0.384118190212373
NI,50.22,0.366020313942752
LA,50.18,0.36528162511542
GM,50.1,0.363804247460757
TZ,49.2,0.347183748845799
KH,49.19,0.346999076638966
GA,48.84,0.340535549399815
CI,48.59,0.335918744228994
EG,48.57,0.335549399815328
DJ,48.47,0.333702677746999
BJ,48.22,0.329085872576177
BD,47.87,0.322622345337027
MW,47.83,0.321883656509695
IR,47.71,0.319667590027701
ZM,47.14,0.309141274238227
KM,46.93,0.305263157894737
UG,46.83,0.303416435826408
PG,46.64,0.299907663896584
GQ,46.59,0.298984302862419
LS,45.62,0.281071098799631
TG,45.52,0.279224376731302
SZ,45.36,0.276269621421976
BF,45.12,0.271837488457987
PK,45.1,0.271468144044321
MG,44.94,0.268513388734995
LR,44.79,0.265743305632502
ZW,44.67,0.263527239150508
IQ,44.66,0.263342566943675
GN,44.47,0.25983379501385
NG,44,0.251154201292706
MM,43.66,0.244875346260388
SL,43.62,0.244136657433056
VE,43.6,0.243767313019391
LY,43.46,0.24118190212373
CM,43.08,0.234164358264081
CG,42.82,0.229362880886427
GW,42.78,0.228624192059095
MZ,42.7,0.227146814404432
ML,42.36,0.220867959372115
NE,42.26,0.219021237303786
ET,41.87,0.211819021237304
MR,41.23,0.2
AO,40.55,0.187442289935365
HT,39.82,0.173961218836565
BI,38.2,0.14404432132964
SD,36.97,0.121329639889197
SY,36.83,0.118744228993536
ER,36.02,0.103785780240074
CD,35.74,0.0986149584487535
TD,34.69,0.0792243767313019
SO,34.39,0.0736842105263158
AF,34.18,0.0698060941828255
CF,32.83,0.0448753462603878
YE,32.65,0.0415512465373961
SS,30.4,0
