COUNTRY,WRI_SCORE,SCORE
MC,0.18,1
AD,0.28,0.997860047078964
SM,0.35,0.996362080034239
LU,0.61,0.990798202439546
ST,0.67,0.989514230686925
LI,0.71,0.988658249518511
BY,0.76,0.987588273057993
SG,0.8,0.986732291889579
BH,0.94,0.983736357800129
QA,0.94,0.983736357800129
HU,0.95,0.983522362508025
DK,0.98,0.982880376631714
NR,1.02,0.9820243954633
SK,1.03,0.981810400171196
MT,1.03,0.981810400171196
CH,1.05,0.981382409586989
CZ,1.09,0.980526428418575
MV,1.11,0.980098437834368
AT,1.16,0.97902846137385
CV,1.17,0.978814466081746
BT,1.18,0.978600470789643
TM,1.25,0.977102503744918
MK,1.29,0.976246522576503
MD,1.29,0.976246522576503
BN,1.29,0.976246522576503
LS,1.33,0.975390541408089
BW,1.34,0.975176546115985
UZ,1.52,0.971324630858121
TV,1.53,0.971110635566018
FI,1.54,0.970896640273914
TG,1.58,0.9700406591055
PY,1.65,0.968542692060775
RS,1.68,0.967900706184464
BJ,1.77,0.965974748555532
EE,1.77,0.965974748555532
GD,1.82,0.964904772095014
SZ,1.93,0.962550823881875
KZ,1.94,0.962336828589771
MN,1.95,0.962122833297667
BF,2.01,0.960838861545046
IS,2.01,0.960838861545046
CI,2.02,0.960624866252942
PW,2.02,0.960624866252942
SI,2.1,0.958912903916114
KN,2.14,0.9580569227477
NE,2.16,0.957628932163492
AZ,2.23,0.956130965118768
ML,2.29,0.954846993366146
LT,2.32,0.954205007489835
TJ,2.36,0.953349026321421
BG,2.43,0.951851059276696
BB,2.46,0.951209073400385
BA,2.49,0.950567087524074
KG,2.53,0.94971110635566
IE,2.55,0.949283115771453
SC,2.57,0.948855125187246
AM,2.61,0.947999144018832
NO,2.61,0.947999144018832
ZW,2.62,0.947785148726728
RW,2.63,0.947571153434624
VC,2.63,0.947571153434624
KM,2.68,0.946501176974107
DM,2.69,0.946287181682003
NP,2.71,0.945859191097796
KW,2.77,0.944575219345174
UG,2.81,0.94371923817676
KI,2.81,0.94371923817676
LC,2.83,0.943291247592553
ME,2.9,0.941793280547828
AG,2.9,0.941793280547828
ZM,2.93,0.941151294671517
TD,2.94,0.940937299379414
GH,2.94,0.940937299379414
TT,3,0.939653327626792
LV,3.01,0.939439332334689
BI,3.02,0.939225337042585
LA,3.03,0.939011341750482
LR,3.11,0.937299379413653
MH,3.12,0.937085384121549
BO,3.2,0.935373421784721
RO,3.22,0.934945431200514
WS,3.23,0.93473143590841
SE,3.23,0.93473143590841
GQ,3.25,0.934303445324203
MW,3.37,0.93173550181896
JM,3.4,0.931093515942649
CF,3.44,0.930237534774235
CY,3.5,0.928953563021614
GW,3.55,0.927883586561096
MU,3.58,0.927241600684785
JO,3.61,0.926599614808474
GE,3.74,0.923817676011128
IL,3.81,0.922319708966403
LB,3.87,0.921035737213781
TO,4.02,0.917825807832228
DE,4.1,0.916113845495399
NL,4.11,0.915899850203296
AF,4.12,0.915685854911192
SS,4.25,0.912903916113846
UA,4.41,0.909479991440188
FM,4.44,0.908838005563878
AE,4.54,0.906698052642842
PL,4.74,0.90241814680077
HR,4.78,0.901562165632356
BS,4.82,0.900706184463942
ET,4.86,0.899850203295528
GM,4.89,0.899208217419217
UY,4.97,0.897496255082388
GA,5.08,0.895142306869249
PT,5.08,0.895142306869249
BE,5.1,0.894714316285042
NA,5.4,0.888294457521935
CG,5.49,0.886368499893002
SN,5.66,0.882730579927242
GB,5.7,0.881874598758827
SL,5.72,0.88144660817462
LK,6.16,0.872030815322063
AL,6.24,0.870318852985234
GN,6.55,0.863684998930024
FJ,6.7,0.86047506954847
SR,6.76,0.859191097795849
GY,7.35,0.846565375561738
ER,7.47,0.843997432056495
FR,7.54,0.84249946501177
TL,7.55,0.842285469719666
CU,7.8,0.836935587417077
BZ,7.97,0.833297667451316
OM,8.06,0.831371709822384
KH,8.15,0.829445752193452
GR,8.61,0.819601968756687
IQ,9.24,0.806120265354162
MR,9.32,0.804408303017334
NG,9.33,0.80419430772523
SA,9.34,0.803980312433126
ZA,9.6,0.798416434838434
DZ,9.64,0.797560453670019
ES,9.74,0.795420500748983
CD,9.87,0.792638561951637
TN,9.91,0.791782580783223
HT,9.96,0.790712604322705
SD,10.3,0.783436764391184
AO,10.42,0.780868820885941
MA,10.43,0.780654825593837
KR,10.59,0.77723090092018
DJ,10.82,0.772309009201798
IT,11.11,0.766103145730794
CR,11.17,0.764819173978173
CM,11.4,0.75989728225979
VU,11.58,0.756045367001926
GT,11.76,0.752193451744062
KP,12.38,0.73892574363364
SY,12.5,0.736357800128397
BR,13.15,0.722448106141665
DO,13.33,0.718596190883801
CL,13.74,0.709822383907554
KE,13.79,0.708752407447036
LY,13.87,0.707040445110208
NZ,14.34,0.69698266638134
TR,14.48,0.69398673229189
MY,14.5,0.693558741707682
SB,14.74,0.688422854697197
AR,14.81,0.686924887652472
SV,14.94,0.684142948855125
TZ,15.98,0.661887438476354
HN,16.81,0.644125829231757
IR,17.47,0.630002139952921
PA,18.19,0.614594478921464
EG,18.78,0.601968756687353
CA,18.89,0.599614808474214
JP,20.94,0.555745773592981
AU,21.05,0.553391825379842
CN,21.31,0.547827947785149
TH,21.7,0.539482131393109
NI,21.94,0.534346244382624
US,22.56,0.521078536272202
EC,23.81,0.494329124759255
VE,24.2,0.485983308367216
VN,24.24,0.485127327198802
YE,24.47,0.480205435480419
SO,24.64,0.476567515514659
MG,24.8,0.473143590841001
PG,26.35,0.439974320564948
PE,27.01,0.425850631286112
PK,27.02,0.425636635994008
BD,27.73,0.410442970254654
RU,28.12,0.402097153862615
MZ,34.44,0.266852129253156
MM,35.85,0.236678793066552
MX,35.93,0.234966830729724
CO,37.81,0.194735715814252
IN,40.96,0.127327198801626
ID,41.13,0.123689278835865
PH,46.91,0
