COUNTRY,EPI_SCORE,SCORE
Estonia,75.7,1
Luxembourg,75.1,0.98825831702544
Germany,74.5,0.976516634050881
Finland,73.8,0.962818003913894
United Kingdom,72.6,0.939334637964775
Sweden,70.3,0.894324853228963
Norway,69.9,0.886497064579256
Austria,68.9,0.86692759295499
Switzerland,67.8,0.845401174168297
Denmark,67.7,0.843444227005871
Greece,67.3,0.835616438356164
France,67,0.829745596868885
Malta,66.9,0.827788649706458
Netherlands,66.9,0.827788649706458
Belgium,66.8,0.825831702544031
Ireland,65.8,0.806262230919765
Czech Republic,65.5,0.800391389432485
Slovakia,65.1,0.792563600782779
Iceland,64.3,0.776908023483366
Poland,64.2,0.774951076320939
Lithuania,64.1,0.772994129158513
Spain,64,0.771037181996086
Australia,63.1,0.753424657534247
Slovenia,62.4,0.73972602739726
Croatia,62.3,0.737769080234834
Portugal,61.9,0.729941291585127
Japan,61.4,0.720156555772994
Canada,61.1,0.714285714285714
Italy,60.3,0.698630136986301
Latvia,60.2,0.696673189823875
Hungary,59.8,0.688845401174168
Belarus,58.2,0.657534246575342
New Zealand,57.3,0.639921722113503
Romania,57.3,0.639921722113503
United States of America,57.2,0.637964774951076
Suriname,56.9,0.632093933463796
Bulgaria,56.2,0.61839530332681
Bahamas,55.9,0.61252446183953
Antigua and Barbuda,55.6,0.606653620352251
Costa Rica,55.5,0.604696673189824
Ukraine,54.6,0.587084148727984
Saint Vincent and the Grenadines,54.2,0.579256360078278
Cyprus,53.9,0.573385518590998
Gabon,53.3,0.561643835616438
Venezuela,53.3,0.561643835616438
Barbados,53.1,0.557729941291585
Brazil,53,0.555772994129159
Singapore,53,0.555772994129159
Panama,52.9,0.553816046966732
Cuba,52.5,0.545988258317025
Trinidad and Tobago,52.5,0.545988258317025
Albania,52.2,0.540117416829746
United Arab Emirates,51.6,0.528375733855186
Zimbabwe,51.6,0.528375733855186
Ecuador,51.3,0.522504892367906
Oman,51.3,0.522504892367906
Saint Lucia,51.1,0.518590998043053
South Korea,50.6,0.50880626223092
North Macedonia,50.3,0.50293542074364
Taiwan,50.1,0.499021526418787
Timor-Leste,49.9,0.495107632093933
Serbia,49.8,0.493150684931507
Colombia,49.7,0.49119373776908
Chile,49.6,0.489236790606654
Dominica,49.3,0.483365949119374
Botswana,49.2,0.481409001956947
Guyana,49,0.477495107632094
Jamaica,48.5,0.467710371819961
Brunei Darussalam,48.3,0.463796477495108
Israel,48,0.457925636007828
Seychelles,47.9,0.455968688845401
Kazakhstan,47.8,0.454011741682975
Dominican Republic,47.7,0.452054794520548
Montenegro,47.7,0.452054794520548
Belize,47.4,0.446183953033268
Nicaragua,47.4,0.446183953033268
Georgia,47.3,0.444227005870841
Jordan,47.3,0.444227005870841
Mauritius,47.3,0.444227005870841
Samoa,47.1,0.440313111545988
Argentina,47,0.438356164383562
Qatar,46.8,0.434442270058708
Russia,46.7,0.432485322896282
Zambia,46.7,0.432485322896282
Peru,46.5,0.428571428571429
Moldova,46.1,0.420743639921722
Bosnia and Herzegovina,46,0.418786692759296
Fiji,46,0.418786692759296
Grenada,45.8,0.414872798434442
Thailand,45.7,0.412915851272016
Bolivia,45.3,0.405088062622309
Tunisia,45.3,0.405088062622309
Vanuatu,45,0.399217221135029
Armenia,44.9,0.397260273972603
Kuwait,44.4,0.38747553816047
Kiribati,44.3,0.385518590998043
Mexico,44.2,0.383561643835617
Uruguay,44.1,0.38160469667319
Namibia,44,0.379647749510763
Senegal,43.8,0.37573385518591
Egypt,43.7,0.373776908023483
Tanzania,43.6,0.371819960861057
Bhutan,43.3,0.365949119373777
Cote d'Ivoire,42.9,0.35812133072407
Kyrgyzstan,42.8,0.356164383561644
South Africa,42.7,0.354207436399217
Uzbekistan,42.6,0.352250489236791
Marshall Islands,42.5,0.350293542074364
Saudi Arabia,42.5,0.350293542074364
Burkina Faso,42.2,0.344422700587084
Solomon Islands,42.2,0.344422700587084
Guinea-Bissau,42,0.340508806262231
Iran,41.8,0.336594911937378
Algeria,41.7,0.334637964774951
Equatorial Guinea,41.7,0.334637964774951
El Salvador,41.6,0.332681017612524
Republic of Congo,41.6,0.332681017612524
Malaysia,41,0.320939334637965
Micronesia,40.8,0.317025440313112
Turkmenistan,40.6,0.313111545988258
Azerbaijan,40.5,0.311154598825832
Tonga,40.4,0.309197651663405
Honduras,40.2,0.305283757338552
Angola,40.1,0.303326810176125
Niger,40,0.301369863013699
Lebanon,39.9,0.299412915851272
Sierra Leone,39.9,0.299412915851272
Dem. Rep. Congo,39.5,0.291585127201566
Morocco,39.5,0.291585127201566
Paraguay,39.5,0.291585127201566
Sudan,39.1,0.283757338551859
Central African Republic,39,0.281800391389432
Mozambique,39,0.281800391389432
Sri Lanka,38.8,0.277886497064579
Eswatini,38.7,0.275929549902153
Cameroon,38.6,0.273972602739726
Comoros,38.2,0.26614481409002
Maldives,38.1,0.264187866927593
Cabo Verde,38,0.262230919765166
Nigeria,37.9,0.26027397260274
Benin,37.8,0.258317025440313
Gambia,37.6,0.25440313111546
Mongolia,37.2,0.246575342465753
Turkiye,37.2,0.246575342465753
Ghana,36.9,0.240704500978474
Kenya,36.9,0.240704500978474
Lesotho,36.9,0.240704500978474
Papua New Guinea,36.9,0.240704500978474
Guinea,36.5,0.232876712328767
Haiti,36.4,0.23091976516634
Ethiopia,36.3,0.228962818003914
Sao Tome and Principe,36.2,0.227005870841487
Chad,35.9,0.221135029354207
Uganda,35.8,0.219178082191781
Togo,35.7,0.217221135029354
China,35.4,0.211350293542074
Bahrain,35.3,0.209393346379648
Malawi,35.1,0.205479452054795
Mauritania,34.6,0.195694716242661
Mali,34.5,0.193737769080235
Liberia,34.3,0.189823874755382
Rwanda,33.9,0.181996086105675
Indonesia,33.6,0.176125244618395
Burundi,33.5,0.174168297455969
Nepal,33.1,0.166340508806262
Guatemala,32.5,0.154598825831703
Djibouti,32.3,0.150684931506849
Tajikistan,32.3,0.150684931506849
Philippines,32.1,0.146771037181996
Cambodia,31.2,0.129158512720157
Afghanistan,31,0.125244618395303
Iraq,30.3,0.111545988258317
Madagascar,30.1,0.107632093933464
Eritrea,29,0.086105675146771
Bangladesh,28.1,0.0684931506849315
India,27.6,0.0587084148727984
