COUNTRY,GTI_SCORE,SCORE
Albania,0,1
Azerbaijan,0,1
Bulgaria,0,1
Bosnia,0,1
Belarus,0,1
Bolivia,0,1
Bhutan,0,1
Botswana,0,1
Republic of the Congo,0,1
Costa Rica,0,1
Cuba,0,1
Czech Republic,0,1
Denmark,0,1
Dominican Republic,0,1
Eritrea,0,1
Estonia,0,1
Finland,0,1
Gabon,0,1
Georgia,0,1
Ghana,0,1
Guatemala,0,1
Guinea,0,1
Guinea-Bissau,0,1
Guyana,0,1
Haiti,0,1
Honduras,0,1
Hungary,0,1
Jamaica,0,1
Kazakhstan,0,1
Kuwait,0,1
Kyrgyzstan,0,1
Laos,0,1
Latvia,0,1
Lesotho,0,1
Liberia,0,1
Madagascar,0,1
Mauritius,0,1
Moldova,0,1
Mongolia,0,1
Montenegro,0,1
Morocco,0,1
Namibia,0,1
Nicaragua,0,1
North Korea,0,1
Oman,0,1
Panama,0,1
Papua New Guinea,0,1
Poland,0,1
Portugal,0,1
Qatar,0,1
Romania,0,1
Senegal,0,1
Serbia,0,1
Sierra Leone,0,1
Slovenia,0,1
South Africa,0,1
South Korea,0,1
South Sudan,0,1
Sudan,0,1
Taiwan,0,1
The Gambia,0,1
Timor-Leste,0,1
Trinidad and Tobago,0,1
Turkmenistan,0,1
Vietnam,0,1
Zambia,0,1
Zimbabwe,0,1
Ireland,0.03,0.99649982499125
Lithuania,0.059,0.993116322482791
Rwanda,0.114,0.986699334966748
Uruguay,0.114,0.986699334966748
Bahrain,0.123,0.985649282464123
Ecuador,0.167,0.980515692451289
Eswatini,0.18,0.978998949947497
Malaysia,0.192,0.977598879943997
United Arab Emirates,0.233,0.972815307432038
Iceland,0.233,0.972815307432038
Paraguay,0.241,0.971881927429705
Armenia,0.423,0.950647532376619
Uzbekistan,0.423,0.950647532376619
Jordan,0.455,0.946914012367285
Netherlands,0.577,0.9326799673317
China,0.582,0.932096604830242
Cyprus,0.616,0.928129739820324
Switzerland,0.627,0.926846342317116
Sweden,0.735,0.914245712285614
Tajikistan,0.871,0.898378252245946
Austria,0.953,0.888811107222028
Mexico,1.04,0.878660599696651
Slovakia,1.092,0.872593629681484
Venezuela,1.174,0.863026484657566
Japan,1.189,0.861276397153191
Kosovo,1.218,0.857892894644732
Ethiopia,1.272,0.851592579628981
Argentina,1.274,0.851359234628398
Saudi Arabia,1.366,0.840625364601564
Central African Republic,1.445,0.831408237078521
Italy,1.447,0.831174892077937
Australia,1.475,0.82790806206977
Lebanon,1.562,0.817757554544394
Spain,1.669,0.805273597013184
Ukraine,1.686,0.803290164508225
Norway,1.747,0.796173141990433
Canada,1.753,0.795473106988683
Belgium,1.904,0.777855559444639
New Zealand,1.947,0.772838641932097
Brazil,1.988,0.768055069420138
Djibouti,2.035,0.762571461906429
Peru,2.045,0.761404736903512
Ivory Coast,2.06,0.759654649399137
Nepal,2.163,0.747637381869094
Algeria,2.197,0.743670516859176
Angola,2.254,0.737020184342551
Tanzania,2.267,0.735503441838759
United Kingdom,2.373,0.72313615680784
Burundi,2.434,0.716019134290048
Libya,2.469,0.711935596779839
France,2.647,0.69116789172792
Germany,2.782,0.675417104188543
Tunisia,2.914,0.660016334150041
Russia,3.016,0.648115739120289
Greece,3.028,0.646715669116789
Sri Lanka,3.072,0.641582079103955
Bangladesh,3.317,0.612997316532493
Indonesia,3.993,0.534126706335317
United States,4.161,0.514525726286314
Turkey,4.168,0.513709018784273
Thailand,4.219,0.507758721269397
Uganda,4.377,0.489324466223311
Iran,4.464,0.479173958697935
Togo,4.67,0.455139423637849
Benin,4.898,0.428538093571345
Yemen,4.951,0.422354451055886
Palestine,4.966,0.420604363551511
Chad,4.987,0.418154241045386
Egypt,5.221,0.390852875977132
Philippines,5.383,0.37195193092988
Kenya,5.616,0.344767238361918
Chile,5.679,0.337416870843542
Colombia,6.188,0.278030568195076
Mozambique,6.267,0.268813440672034
India,6.324,0.262163108155408
Democratic Republic of the Congo,6.514,0.239995333099988
Cameroon,6.98,0.185625947964065
Iraq,7.078,0.17419204293548
Niger,7.274,0.151324232878311
Myanmar,7.536,0.12075603780189
Nigeria,7.575,0.116205810290514
Somalia,7.814,0.0883210827208027
Afghanistan,7.825,0.0870376852175942
Syria,7.89,0.0794539726986349
Pakistan,7.916,0.0764204876910511
Mali,7.998,0.0668533426671333
Israel,8.143,0.0499358301248395
Burkina Faso,8.571,0
