COUNTRY,HDI_SCORE,SCORE
Switzerland,0.967,1
Norway,0.966,0.998296422487223
Iceland,0.959,0.986371379897785
"Hong Kong, China (SAR)",0.956,0.981260647359455
Denmark,0.952,0.974446337308348
Sweden,0.952,0.974446337308348
Germany,0.95,0.971039182282794
Ireland,0.95,0.971039182282794
Singapore,0.949,0.969335604770017
Australia,0.946,0.964224872231687
Netherlands,0.946,0.964224872231687
Belgium,0.942,0.957410562180579
Finland,0.942,0.957410562180579
Liechtenstein,0.942,0.957410562180579
United Kingdom,0.94,0.954003407155026
New Zealand,0.939,0.952299829642249
United Arab Emirates,0.937,0.948892674616695
Canada,0.935,0.945485519591142
Korea (Republic of),0.929,0.935264054514481
Luxembourg,0.927,0.931856899488927
United States,0.927,0.931856899488927
Austria,0.926,0.93015332197615
Slovenia,0.926,0.93015332197615
Japan,0.92,0.919931856899489
Israel,0.915,0.911413969335605
Malta,0.915,0.911413969335605
Spain,0.911,0.904599659284498
France,0.91,0.902896081771721
Cyprus,0.907,0.89778534923339
Italy,0.906,0.896081771720613
Estonia,0.899,0.884156729131176
Czechia,0.895,0.877342419080068
Greece,0.893,0.873935264054515
Bahrain,0.888,0.86541737649063
Andorra,0.884,0.858603066439523
Poland,0.881,0.853492333901193
Latvia,0.879,0.850085178875639
Lithuania,0.879,0.850085178875639
Croatia,0.878,0.848381601362862
Qatar,0.875,0.843270868824532
Saudi Arabia,0.875,0.843270868824532
Portugal,0.874,0.841567291311755
San Marino,0.867,0.829642248722317
Chile,0.86,0.817717206132879
Slovakia,0.855,0.809199318568995
Türkiye,0.855,0.809199318568995
Hungary,0.851,0.802385008517888
Argentina,0.849,0.798977853492334
Kuwait,0.847,0.79557069846678
Montenegro,0.844,0.79045996592845
Saint Kitts and Nevis,0.838,0.780238500851789
Uruguay,0.83,0.766609880749574
Romania,0.827,0.761499148211244
Antigua and Barbuda,0.826,0.759795570698467
Brunei Darussalam,0.823,0.754684838160136
Russian Federation,0.821,0.751277683134583
Bahamas,0.82,0.749574105621806
Panama,0.82,0.749574105621806
Oman,0.819,0.747870528109029
Georgia,0.814,0.739352640545145
Trinidad and Tobago,0.814,0.739352640545145
Barbados,0.809,0.730834752981261
Malaysia,0.807,0.727427597955707
Costa Rica,0.806,0.72572402044293
Serbia,0.805,0.724020442930153
Thailand,0.803,0.7206132879046
Kazakhstan,0.802,0.718909710391823
Seychelles,0.802,0.718909710391823
Belarus,0.801,0.717206132879046
Bulgaria,0.799,0.713798977853492
Palau,0.797,0.710391822827939
Mauritius,0.796,0.708688245315162
Grenada,0.793,0.703577512776831
Albania,0.789,0.696763202725724
China,0.788,0.695059625212947
Armenia,0.786,0.691652470187394
Mexico,0.781,0.68313458262351
Iran (Islamic Republic of),0.78,0.681431005110733
Sri Lanka,0.78,0.681431005110733
Bosnia and Herzegovina,0.779,0.679727427597956
Saint Vincent and the Grenadines,0.772,0.667802385008518
Dominican Republic,0.766,0.657580919931857
Ecuador,0.765,0.65587734241908
North Macedonia,0.765,0.65587734241908
Cuba,0.764,0.654173764906303
Moldova (Republic of),0.763,0.652470187393527
Maldives,0.762,0.65076660988075
Peru,0.762,0.65076660988075
Azerbaijan,0.76,0.647359454855196
Brazil,0.76,0.647359454855196
Colombia,0.758,0.643952299829642
Libya,0.746,0.62350936967632
Algeria,0.745,0.621805792163544
Turkmenistan,0.744,0.620102214650767
Guyana,0.742,0.616695059625213
Mongolia,0.741,0.614991482112436
Dominica,0.74,0.613287904599659
Tonga,0.739,0.611584327086883
Jordan,0.736,0.606473594548552
Ukraine,0.734,0.603066439522998
Tunisia,0.732,0.599659284497445
Marshall Islands,0.731,0.597955706984668
Paraguay,0.731,0.597955706984668
Fiji,0.729,0.594548551959114
Egypt,0.728,0.592844974446337
Uzbekistan,0.727,0.591141396933561
Viet Nam,0.726,0.589437819420784
Saint Lucia,0.725,0.587734241908007
Lebanon,0.723,0.584327086882453
South Africa,0.717,0.574105621805792
"Palestine, State of",0.716,0.572402044293015
Indonesia,0.713,0.567291311754685
Philippines,0.71,0.562180579216354
Botswana,0.708,0.558773424190801
Jamaica,0.706,0.555366269165247
Samoa,0.702,0.54855195911414
Kyrgyzstan,0.701,0.546848381601363
Belize,0.7,0.545144804088586
Venezuela (Bolivarian Republic of),0.699,0.543441226575809
Bolivia (Plurinational State of),0.698,0.541737649063032
Morocco,0.698,0.541737649063032
Nauru,0.696,0.538330494037479
Gabon,0.693,0.533219761499148
Suriname,0.69,0.528109028960818
Bhutan,0.681,0.512776831345826
Tajikistan,0.679,0.509369676320273
El Salvador,0.674,0.500851788756389
Iraq,0.673,0.499148211243612
Bangladesh,0.67,0.494037478705281
Nicaragua,0.669,0.492333901192504
Cabo Verde,0.661,0.47870528109029
Tuvalu,0.653,0.465076660988075
Equatorial Guinea,0.65,0.459965928449745
India,0.644,0.449744463373084
Micronesia (Federated States of),0.634,0.432708688245315
Guatemala,0.629,0.424190800681431
Kiribati,0.628,0.422487223168654
Honduras,0.624,0.415672913117547
Lao People's Democratic Republic,0.62,0.40885860306644
Vanuatu,0.614,0.398637137989779
Sao Tome and Principe,0.613,0.396933560477002
Eswatini (Kingdom of),0.61,0.391822827938671
Namibia,0.61,0.391822827938671
Myanmar,0.608,0.388415672913118
Ghana,0.602,0.378194207836457
Kenya,0.601,0.37649063032368
Nepal,0.601,0.37649063032368
Cambodia,0.6,0.374787052810903
Congo,0.593,0.362862010221465
Angola,0.591,0.359454855195911
Cameroon,0.587,0.352640545144804
Comoros,0.586,0.350936967632027
Zambia,0.569,0.321976149914821
Papua New Guinea,0.568,0.320272572402044
Timor-Leste,0.566,0.316865417376491
Solomon Islands,0.562,0.310051107325383
Syrian Arab Republic,0.557,0.301533219761499
Haiti,0.552,0.293015332197615
Uganda,0.55,0.289608177172061
Zimbabwe,0.55,0.289608177172061
Nigeria,0.548,0.286201022146508
Rwanda,0.548,0.286201022146508
Togo,0.547,0.284497444633731
Mauritania,0.54,0.272572402044293
Pakistan,0.54,0.272572402044293
Côte d'Ivoire,0.534,0.262350936967632
Tanzania (United Republic of),0.532,0.258943781942078
Lesotho,0.521,0.240204429301533
Senegal,0.517,0.233390119250426
Sudan,0.516,0.231686541737649
Djibouti,0.515,0.229982964224872
Malawi,0.508,0.218057921635434
Benin,0.504,0.211243611584327
Gambia,0.495,0.195911413969336
Eritrea,0.493,0.192504258943782
Ethiopia,0.492,0.190800681431005
Liberia,0.487,0.182282793867121
Madagascar,0.487,0.182282793867121
Guinea-Bissau,0.483,0.175468483816014
Congo (Democratic Republic of the),0.481,0.17206132879046
Guinea,0.471,0.155025553662692
Afghanistan,0.462,0.1396933560477
Mozambique,0.461,0.137989778534923
Sierra Leone,0.458,0.132879045996593
Burkina Faso,0.438,0.0988074957410562
Yemen,0.424,0.0749574105621806
Burundi,0.42,0.0681431005110732
Mali,0.41,0.0511073253833049
Chad,0.394,0.0238500851788757
Niger,0.394,0.0238500851788757
Central African Republic,0.387,0.0119250425894378
South Sudan,0.381,0.00170357751277683
Somalia,0.38,0
