COUNTRY,LPI_SCORE,SCORE
Denmark,84.55,1
Sweden,83.67,0.983748845798707
Norway,83.59,0.982271468144044
Finland,83.47,0.98005540166205
Switzerland,83.42,0.979132040627886
Netherlands,82.32,0.95881809787627
Luxembourg,81.83,0.949769159741459
Iceland,81.02,0.934810710987996
Germany,80.81,0.930932594644506
New Zealand,80.47,0.924653739612188
Ireland,80.31,0.921698984302863
United Kingdom,79.95,0.915050784856879
Canada,79.62,0.908956602031394
Austria,79.38,0.904524469067405
Australia,79.36,0.90415512465374
Japan,78.22,0.883102493074792
Singapore,78.21,0.882917820867959
Belgium,77.84,0.876084949215143
United States,77.44,0.868698060941828
Taiwan,77.36,0.867220683287165
Estonia,77.31,0.866297322253001
Hong Kong,76.9,0.858725761772853
France,76.73,0.855586334256695
Spain,76.03,0.842659279778393
Czech Republic,75.08,0.825115420129271
Portugal,74.64,0.816989843028624
Slovenia,74.54,0.815143120960296
Malta,74.36,0.811819021237304
South Korea,74.07,0.80646352723915
Italy,73.03,0.787257617728532
Latvia,72.99,0.7865189289012
Lithuania,72.54,0.778208679593721
Israel,72.25,0.772853185595568
Cyprus,71.82,0.764912280701754
Slovakia,71.15,0.752539242843952
Chile,70.18,0.734626038781164
Poland,70.15,0.734072022160665
Uruguay,69.69,0.725577100646353
Costa Rica,69.59,0.723730378578024
Greece,68.48,0.703231763619575
Croatia,68.24,0.698799630655586
Hungary,66.88,0.673684210526316
Malaysia,66.84,0.672945521698984
United Arab Emirates,66.69,0.670175438596491
Romania,66.4,0.664819944598338
Qatar,66.24,0.661865189289012
Mauritius,65.65,0.650969529085873
Bulgaria,65.55,0.649122807017544
Montenegro,65.01,0.639150507848569
Panama,64.32,0.626408125577101
Seychelles,63.65,0.614035087719298
Serbia,62.75,0.59741458910434
Georgia,62.28,0.588734995383195
China,62.15,0.586334256694368
North Macedonia,61.95,0.58264081255771
Trinidad and Tobago,61.91,0.581902123730379
Jamaica,61.39,0.572299168975069
Argentina,61.38,0.572114496768236
Peru,61.27,0.570083102493075
Kuwait,60.93,0.563804247460757
Armenia,60.92,0.563619575253924
Bahrain,60.92,0.563619575253924
Indonesia,60.88,0.562880886426593
Thailand,60.79,0.561218836565097
Albania,60.69,0.559372114496768
Brazil,60.07,0.54792243767313
Oman,59.85,0.543859649122807
Dominican Republic,59.85,0.543859649122807
Kazakhstan,59.53,0.537950138504155
Moldova,59.44,0.536288088642659
Mexico,59.3,0.533702677746999
Bosnia and Herzegovina,59.11,0.530193905817175
Vietnam,58.86,0.525577100646353
Ukraine,58.84,0.525207756232687
South Africa,58.67,0.522068328716528
Paraguay,58.56,0.520036934441367
Russia,58.5,0.518928901200369
Belarus,58.4,0.517082179132041
Saudi Arabia,58.35,0.516158818097876
Cabo Verde,58.34,0.515974145891044
Colombia,58.01,0.509879963065559
Suriname,57.91,0.50803324099723
Botswana,57.83,0.506555863342567
Philippines,57.53,0.501015697137581
Ecuador,57.42,0.498984302862419
Jordan,57.14,0.493813481071099
São Tomé and Príncipe,57.09,0.492890120036935
Mongolia,57.07,0.492520775623269
Guyana,56.93,0.489935364727609
Namibia,56.38,0.479778393351801
