COUNTRY,WRI_SCORE,SCORE
Monaco,0.18,1
Andorra,0.28,0.997860047078964
San Marino,0.35,0.996362080034239
Luxembourg,0.61,0.990798202439546
Sao Tome and Principe,0.67,0.989514230686925
Liechtenstein,0.71,0.988658249518511
Belarus,0.76,0.987588273057993
Singapore,0.8,0.986732291889579
Bahrain,0.94,0.983736357800129
Qatar,0.94,0.983736357800129
Hungary,0.95,0.983522362508025
Denmark,0.98,0.982880376631714
Nauru,1.02,0.9820243954633
Slovakia,1.03,0.981810400171196
Malta,1.03,0.981810400171196
Switzerland,1.05,0.981382409586989
Czech Republic,1.09,0.980526428418575
Maldives,1.11,0.980098437834368
Austria,1.16,0.97902846137385
Cape Verde,1.17,0.978814466081746
Bhutan,1.18,0.978600470789643
Turkmenistan,1.25,0.977102503744918
North Macedonia,1.29,0.976246522576503
Republic of Moldova,1.29,0.976246522576503
Brunei Darussalam,1.29,0.976246522576503
Lesotho,1.33,0.975390541408089
Botswana,1.34,0.975176546115985
Uzbekistan,1.52,0.971324630858121
Tuvalu,1.53,0.971110635566018
Finland,1.54,0.970896640273914
Togo,1.58,0.9700406591055
Paraguay,1.65,0.968542692060775
Serbia,1.68,0.967900706184464
Benin,1.77,0.965974748555532
Estonia,1.77,0.965974748555532
Grenada,1.82,0.964904772095014
Eswatini,1.93,0.962550823881875
Kazakhstan,1.94,0.962336828589771
Mongolia,1.95,0.962122833297667
Burkina Faso,2.01,0.960838861545046
Iceland,2.01,0.960838861545046
Cote d'Ivoire,2.02,0.960624866252942
Palau,2.02,0.960624866252942
Slovenia,2.1,0.958912903916114
Saint Kitts and Nevis,2.14,0.9580569227477
Niger,2.16,0.957628932163492
Azerbaijan,2.23,0.956130965118768
Mali,2.29,0.954846993366146
Lithuania,2.32,0.954205007489835
Tajikistan,2.36,0.953349026321421
Bulgaria,2.43,0.951851059276696
Barbados,2.46,0.951209073400385
Bosnia and Herzegovina,2.49,0.950567087524074
Kyrgyzstan,2.53,0.94971110635566
Ireland,2.55,0.949283115771453
Seychelles,2.57,0.948855125187246
Armenia,2.61,0.947999144018832
Norway,2.61,0.947999144018832
Zimbabwe,2.62,0.947785148726728
Rwanda,2.63,0.947571153434624
Saint Vincent and the Grenadines,2.63,0.947571153434624
Comoros,2.68,0.946501176974107
Dominica,2.69,0.946287181682003
Nepal,2.71,0.945859191097796
Kuwait,2.77,0.944575219345174
Uganda,2.81,0.94371923817676
Kiribati,2.81,0.94371923817676
Saint Lucia,2.83,0.943291247592553
Montenegro,2.9,0.941793280547828
Antigua and Barbuda,2.9,0.941793280547828
Zambia,2.93,0.941151294671517
Chad,2.94,0.940937299379414
Ghana,2.94,0.940937299379414
Trinidad and Tobago,3,0.939653327626792
Latvia,3.01,0.939439332334689
Burundi,3.02,0.939225337042585
Lao People's Democratic Republic,3.03,0.939011341750482
Liberia,3.11,0.937299379413653
